EllipsoidCode,DatumCode,DatumName,EPSGCode,dX,dY,dZ,RMSError,EllipsoidName,Flattening,SemiMajorAxis
INTERNATIONAL_1924,KUSAIE_ASTRO_1951,Kusaie Astro 1951,6735,647,1777,-1124,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,MIDWAY_ASTRO_1961,Midway Astro 1961,6727,403,-81,277,44.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,NAPARIMA_1972,Naparima 1972,6271,-2,374,172,26.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,NAPARIMA_1955,Naparima 1955,6158,-2,374,172,26.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,OBSERVATORIO_METEOROLOGICO_1939,Observatorio Meteorologico 1939,6182,-425,-169,81,35.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,PICO_DE_LAS_NIEVES,Pico de las Nieves,6728,-307,-92,127,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,PITCAIRN_ASTRO_1967,Pitcairn Astro 1967,6729,185,165,42,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,PORTO_SANTO_1936,Porto Santo 1936,6615,-499,-249,314,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,PROVISIONAL_SOUTH_AMERICAN_1956_MEAN,Provisional South American 1956 (except southern Chile),6248,-288,175,-376,68.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,PROVISIONAL_SOUTH_CHILEAN_1963,Provisional South Chilean 1963,6254,16,196,93,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,QATAR_NATIONAL,Qatar National,6614,-128,-283,22,35.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,QORNOQ,Qornoq,6287,164,138,-189,48.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,REUNION,Reunion,6626,94,-948,-1262,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,ROME_1940,Rome 1940,6806,-225,-65,9,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,SANTO_DOS_1965,Santo (DOS) 1965,6730,170,42,84,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,SAO_BRAZ,Sao Braz,6184,-203,141,53,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,SAPPER_HILL_1943,Sapper Hill 1943,6292,-355,21,72,2.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,SELVAGEM_GRANDE_1938,Selvagem Grande 1938,6616,-289,-124,60,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,TANANARIVE_OBSERVATORY_1925,Tananarive Observatory 1925,6297,-189,-242,-91,50.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,TRISTAN_ASTRO_1968,Tristan Astro 1968,6734,-632,438,-609,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,WAKE_ISLAND_ASTRO_1952,Wake Island Astro 1952,6733,276,-57,149,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,YACARE,Yacare,6309,-155,171,37,50.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,ZANDERIJ,Zanderij,6311,-265,120,-358,11.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,HU_TZU_SHAN_EUROPE_MEAN,Hu-Tzu-Shan (Europe),6230,-87,-98,-121,55.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,HU_TZU_SHAN_MID_EAST_MEAN,Hu-Tzu-Shan (Mid-east),6230,-103,-106,-141,74.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,HU_TZU_SHAN_TAIWAN,Hu-Tzu-Shan (Taiwan),6230,-637,-549,-203,26.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,PROVISIONAL_SOUTH_AMERICAN_1956_SOUTH_CHILE,Provisional South American 1956 (southern Chile near 43S),6248,-305,243,-442,35.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,MARCUS_ISLAND_1952,Astronomical Station 1952,6711,124,-234,-25,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,MONTE_MARIO_ROME,Rome 1940,6806,-225,-65,9,43.00,International 1924,297.0,6378388.0
INTERNATIONAL_1924,AZORES_ORIENTAL_1940,Azores Oriental 1940,6184,-203,141,53,43.00,International 1924,297.0,6378388.0
KRASSOVSKY_1940,AFGOOYE,Afgooye,6205,-43,-163,45,43.00,Krassovsky 1940,298.3,6378245.0
KRASSOVSKY_1940,KRASSOVSKY_1940_ELLIPSOID,Krassovsky 1940 ellipsoid,7024,0,0,0,175.00,Krassovsky 1940,298.3,6378245.0
KRASSOVSKY_1940,S_42_PULKOVO_1942_MEAN,S-42 (Pulkovo 1942),6284,24,-125,-83,64.00,Krassovsky 1940,298.3,6378245.0
MODIFIED_AIRY,IRELAND_1965,Ireland 1965,,506,-122,611,5.00,Modified Airy,299.3249646,6377340.189
MODIFIED_AIRY,MODIFIED_AIRY_ELLIPSOID,Modified Airy ellipsoid,7002,0,0,0,802.00,Modified Airy,299.3249646,6377340.189
MODIFIED_FISCHER_1960,MODIFIED_FISCHER_1960_ELLIPSOID,Modified Fischer 1960 ellipsoid,,0,0,0,29.00,Modified Fischer 1960,298.3,6378155.0
MODIFIED_FISCHER_1960,SOUTH_ASIA,South Asia,,7,-10,-26,43.00,Modified Fischer 1960,298.3,6378155.0
SOUTH_AMERICAN_1969,SOUTH_AMERICAN_1969_MEAN,South American 1969,6618,-57,1,-41,70.00,South American 1969,298.25,6378160.0
WGS66,WGS66,(WGS66) World Geodetic System 1966,6760,0,0,0,50.00,World Geodetic System 1966,298.25,6378145.0
WGS72,WGS72,(WGS72) World Geodetic System 1972,6322,0,0,0,50.00,World Geodetic System 1972,298.26,6378135.0
WGS84,KOREAN_GEODETIC_SYSTEM_1995,Korean Geodetic System 1995,6166,0,0,0,3.00,World Geodetic System 1984,298.257223563,6378137.0
WGS84,NOT_RECORDED,not recorded (forced WGS84),6030,0,0,0,3552.00,World Geodetic System 1984,298.257223563,6378137.0
WGS84,WGS84,World Geodetic System 1984,6326,0,0,0,0.00,World Geodetic System 1984,298.257223563,6378137.0
